Participant	Version	ID	Word	Identification	RT	Novelty	Figure	Reg_num	Pattern	Sentence	StimLen	WordLen	Freq	Score	C_S1	C_S2
P001	A	044	acrobate	N	3.104	Source	Metaphor	2.5925925925925926	P12	La troupe est constituée de deux acrobates et de quatre jongleurs.	66	8	17.0	3.398058	concrete	nan
P001	A	045	pompier	N	2.956	Source	Metaphor	2.5925925925925926	P12	Le premier pompier est arrivé sur place dix minutes après l'appel.	66	7	14.0	3.398058	concrete	nan
P001	A	046	cacahuète	N	2.016	Source	Metaphor	2.4814814814814814	P11	Il a emporté un paquet de cacahuètes et quelques bières.	56	9	18.0	4.028708	concrete	nan
P001	A	047	cerise	N	2.187	Source	Metaphor	2.4814814814814814	P11	Elle a préparé une délicieuse tarte aux cerises pour le dessert.	64	6	14.0	4.028708	concrete	nan
P001	A	048	datte	N	2.787	Source	Metaphor	2.4814814814814814	P11	Toute la famille s'est réunie autour d'un repas à base de dattes et d'agneau.	77	5	18.0	4.028708	concrete	nan
P001	A	049	pastèque	N	2.411	Source	Metaphor	2.4814814814814814	P11	Les enfants ont pris une grosse tranche de pastèque au goûter.	62	8	17.0	4.028708	concrete	nan
P001	A	050	colline	N	2.672	Source	Metaphor	2.6666666666666665	P13	Ils ont construit leur maison sur la colline au-dessus du village.	66	7	12.0	4.173913	concrete	nan
P001	A	051	éboulis	N	1.921	Source	Metaphor	2.6666666666666665	P13	La route de montagne est bloquée par un éboulis depuis deux jours.	66	7	16.0	4.173913	concrete	nan
P001	A	052	fougère	N	1.888	Source	Metaphor	2.6666666666666665	P13	On trouve de nombreuses espèces de fougères dans ces bois.	58	7	17.0	4.173913	concrete	nan
P001	A	053	bourrasque	N	1.954	Source	Metaphor	4.407407407407407	P14	La météo prévoit pour cette nuit des bourrasques et des pluies violentes.	73	10	17.0	5.487685	concrete	nan
P001	A	054	blizzard	N	2.059	Source	Metaphor	4.407407407407407	P14	Il est tombé beaucoup de neige et le blizzard souffle fort.	59	8	17.0	5.487685	concrete	nan
P001	A	055	orage	N	2.204	Source	Metaphor	4.407407407407407	P14	La chaîne météo a annoncé des orages et de fortes rafales de vent.	66	5	13.0	5.487685	concrete	nan
P001	A	056	cyclone	N	2.798	Source	Metaphor	4.407407407407407	P14	Cet archipel subit de plus en plus de cyclones et d'inondations.	64	7	13.0	5.487685	concrete	nan
P001	A	057	épaule	N	2.225	Source	Metaphor	4.592592592592593	P15	Il ressent une douleur à l'épaule depuis dimanche dernier.	58	6	12.0	4.382775	concrete	nan
P001	A	058	cheveu	N	2.788	Source	Metaphor	4.592592592592593	P15	Elle s'est brossé les cheveux en regardant la finale de la ligue à la télé.	75	6	11.0	4.382775	concrete	nan
P001	A	059	tempe	N	2.591	Source	Metaphor	4.592592592592593	P15	Un bon casque doit couvrir les tempes et la partie arrière de la tête.	70	5	16.0	4.382775	concrete	nan
P001	A	060	insalubrité	N	3.124	Source	Metaphor	5.518518518518518	P16	L'acheteur n'avait pas été informé de l'état d'insalubrité du logement.	71	11	16.0	3.935644	abstract	nan
P001	A	061	corpulence	N	2.462	Source	Metaphor	5.518518518518518	P16	Elles ont sélectionné des mannequins de corpulence moyenne.	59	10	16.0	3.935644	abstract	nan
P001	A	062	sveltesse	N	4.174	Source	Metaphor	5.518518518518518	P16	Cette longue robe souligne parfaitement la sveltesse de sa silhouette.	70	9	21.0	3.935644	abstract	nan
P001	A	063	humidité	N	2.567	Source	Metaphor	5.518518518518518	P16	On peut observer des traces d'humidité sur tous les murs de la maison.	70	8	12.0	3.935644	abstract	nan
P001	A	064	chevalet	N	2.437	Source	Metonymy	3.0	P21	Un tableau est posé sur un chevalet au centre de la pièce.	58	8	16.0	3.159204	concrete	nan
P001	A	065	chaudière	N	2.168	Source	Metonymy	3.0	P21	Ils ont fait installer une chaudière à bois dans le garage.	59	9	15.0	3.159204	concrete	nan
P001	A	066	parcmètre	N	2.091	Source	Metonymy	3.0	P21	Il a remis de l'argent dans le parcmètre après trois heures.	60	9	20.0	3.159204	concrete	nan
P001	A	067	photocopieuse	N	2.294	Source	Metonymy	3.0	P21	Un individu mal intentionné a volé la photocopieuse de l'école hier soir.	73	13	17.0	3.159204	concrete	nan
P001	A	068	jambe	N	2.508	Source	Metonymy	3.5555555555555554	P23	Les médecins déconseillent de s'asseoir les jambes croisées.	60	5	11.0	3.588517	concrete	nan
P001	A	069	doigt	N	1.971	Source	Metonymy	3.5555555555555554	P23	Les enfants ont laissé des grosses traces de doigts sur la vitre.	65	5	11.0	3.588517	concrete	nan
P001	A	070	poignet	N	2.266	Source	Metonymy	3.5555555555555554	P23	Elle s'est cassé le poignet gauche au cours de sa première leçon de ski.	72	7	13.0	3.588517	concrete	nan
P001	A	071	savoir	N	2.288	Source	Metonymy	3.1481481481481484	P22	Ces découvertes récentes remettent en question le savoir actuel.	64	6	8.0	4.419048	abstract	nan
P001	A	072	laïcité	N	2.849	Source	Metonymy	3.1481481481481484	P22	La question de la laïcité occupe une grande place dans les débats actuels.	74	7	13.0	4.419048	abstract	nan
P001	A	073	ivresse	N	2.349	Source	Metonymy	3.1481481481481484	P22	L'homme a été interpellé en état d'ivresse par la police municipale.	68	7	14.0	4.419048	abstract	nan
P001	A	074	fougue	N	2.446	Source	Metonymy	3.1481481481481484	P22	Ce comédien a gardé dans son jeu une fougue d'adolescent.	57	6	14.0	4.419048	abstract	nan
P001	A	075	ablation	N	2.459	Source	Metonymy	5.481481481481482	P26	Elle a dû subir une ablation du rein en décembre dernier.	57	8	15.0	4.649746	abstract	nan
P001	A	076	perquisition	N	2.405	Source	Metonymy	5.481481481481482	P26	Les dernières perquisitions ont lieu au domicile du suspect.	60	12	14.0	4.649746	abstract	nan
P001	A	077	broyage	N	2.546	Source	Metonymy	5.481481481481482	P26	Cette huile grecque est issue d'un broyage traditionnel des olives.	67	7	16.0	4.649746	abstract	nan
P001	A	078	serviabilité	N	1.663	Source	Metonymy	4.333333333333333	P24	Tout le personnel est d'une serviabilité exceptionnelle.	56	12	19.0	5.423077	abstract	nan
P001	A	079	clémence	N	2.028	Source	Metonymy	4.333333333333333	P24	Avant les délibérations, l'accusé a imploré la clémence des jurés.	66	8	15.0	5.423077	abstract	nan
P001	A	080	sexisme	N	1.728	Source	Metonymy	4.333333333333333	P24	La plupart des femmes déclarent avoir fait l'objet de sexisme au travail.	73	7	16.0	5.423077	abstract	nan
P001	A	081	arrogance	N	2.249	Source	Metonymy	4.333333333333333	P24	Ces dirigeants ont longtemps fait preuve d'une arrogance inouïe.	64	9	14.0	5.423077	abstract	nan
P001	A	082	levure	N	2.75	Source	Metonymy	4.62962962962963	P25	Pour la pâte, il faut de la levure, de la farine, de l'eau et un peu de rhum.	77	6	15.0	4.214286	concrete	nan
P001	A	083	lait	N	2.005	Source	Metonymy	4.62962962962963	P25	Les vaches produisent moins de lait depuis quelques semaines.	61	4	11.0	4.214286	concrete	nan
P001	A	084	beurre	N	2.902	Source	Metonymy	4.62962962962963	P25	Il a oublié d'acheter du beurre et du jus de fruit au supermarché.	66	6	12.0	4.214286	concrete	nan
P001	A	90004	chaton	NA	NA	Distractor	Metaphor	nan	nan	Il a écrit des chatons mélancoliques adressés à sa compagne.	60	6	nan	nan	concrete	abstract
P001	A	90005	ciseau	NA	NA	Distractor	Metaphor	nan	nan	En repensant au plan de sa dissertation, un ciseau lui est soudain venu.	72	6	nan	nan	concrete	abstract
P001	A	90006	gouttière	NA	NA	Distractor	Metaphor	nan	nan	Il s'est malencontreusement coupé la gouttière en se rasant ce matin.	69	9	nan	nan	concrete	concrete
P001	A	90007	chauffage	NA	NA	Distractor	Metaphor	nan	nan	Sa soeur lui a offert un chauffage en laine rouge pour Noël.	60	9	nan	nan	concrete	concrete
P001	A	90008	frontière	NA	NA	Distractor	Metaphor	nan	nan	Le musicien a composé une frontière pour cordes très peu rythmée.	65	9	nan	nan	concrete	abstract
P001	A	90009	plume	NA	NA	Distractor	Metaphor	nan	nan	Il chuchote des petites plumes à l'oreille de sa grand-mère.	60	5	nan	nan	concrete	abstract
P001	A	90010	bibelot	Y	3.99	Distractor	Metaphor	nan	nan	Elles se sont raconté deux ou trois bibelots avant de rentrer chez elles.	73	7	nan	nan	concrete	abstract
P001	A	90011	bazooka	Y	2.258	Distractor	Metaphor	nan	nan	Après avoir bu quatre bazookas, il était complètement ivre.	59	7	nan	nan	concrete	concrete
P001	A	90012	accélération	Y	3.404	Distractor	Metonymy	nan	nan	J'ai fabriqué une accélération pour améliorer l'écoulement de l'eau.	68	12	nan	nan	abstract	concrete
P001	A	90013	température	Y	2.479	Distractor	Metonymy	nan	nan	Le médecin a posé une température sur le muscle pour qu'il se détende.	70	11	nan	nan	abstract	concrete
P001	A	90014	adhérence	Y	1.842	Distractor	Metonymy	nan	nan	On a utilisé des adhérences en plastique pour accrocher nos affiches.	69	9	nan	nan	abstract	concrete
P001	A	90015	cérémonie	N	2.689	Distractor	Metonymy	nan	nan	Il a fait son discours devant une cérémonie très âgée.	54	9	nan	nan	abstract	concrete
P001	A	90016	contradiction	Y	2.721	Distractor	Metonymy	nan	nan	Hier, la contradiction s'est réunie pour faire passer des entretiens.	69	13	nan	nan	abstract	concrete
P001	A	90017	ongle	Y	2.911	Distractor	Metonymy	nan	nan	Il faut environ cinq ongles de fil pour recoudre un bouton.	59	5	nan	nan	concrete	abstract
P001	A	90018	nez	Y	5.037	Distractor	Metonymy	nan	nan	Le panneau était à trois nez de son visage, mais il ne l'a pas vu.	66	3	nan	nan	concrete	abstract
P001	A	90019	cou	Y	3.773	Distractor	Metonymy	nan	nan	Il s'est tricoté une écharpe longue de trois cous pour l'hiver.	63	3	nan	nan	concrete	abstract
P002	A	001	troubadour	Y	2.082	Novel	Metaphor	2.5925925925925926	P12	J'ai rechargé le troubadour pour avoir de la musique sur la route.	66	10	17.0	3.398058	concrete	concrete
P002	A	002	mentor	Y	5.001	Novel	Metaphor	2.5925925925925926	P12	Il a glissé son mentor dans la valise pour le feuilleter en cas de problème.	76	6	14.0	3.398058	concrete	concrete
P002	A	003	barman	Y	3.601	Novel	Metaphor	2.5925925925925926	P12	On ne peut plus mettre d'argent dans le barman du hall.	55	6	16.0	3.398058	concrete	concrete
P002	A	004	vigile	N	3.077	Novel	Metaphor	2.5925925925925926	P12	Elle a mis le vigile, ouvert la porte et regardé par l'entrebâillement.	71	6	15.0	3.398058	concrete	concrete
P002	A	005	orange	Y	4.301	Novel	Metaphor	2.4814814814814814	P11	Le maçon a étalé une orange de ciment entre les briques du mur.	63	6	12.0	4.028708	concrete	abstract
P002	A	006	olive	N	3.601	Novel	Metaphor	2.4814814814814814	P11	Elle s'est mis une olive de crème solaire sur chaque épaule.	60	5	13.0	4.028708	concrete	abstract
P002	A	007	pistache	N	3.395	Novel	Metaphor	2.4814814814814814	P11	J'ai ajouté une pistache de wasabi sur le sushi avant de le manger.	67	8	18.0	4.028708	concrete	abstract
P002	A	008	chrysalide	N	2.101	Novel	Metaphor	2.6666666666666665	P13	Le chef propose régulièrement des chrysalides aux myrtilles pour le dessert.	76	10	18.0	4.173913	concrete	concrete
P002	A	009	dune	N	5.402	Novel	Metaphor	2.6666666666666665	P13	Il a passé sa matinée à cuisiner des dunes au chocolat.	55	4	10.0	4.173913	concrete	concrete
P002	A	010	banquise	N	3.573	Novel	Metaphor	2.6666666666666665	P13	Elle a recouvert la banquise meringuée d'un coulis de framboise.	64	8	15.0	4.173913	concrete	concrete
P002	A	011	falaise	Y	4.601	Novel	Metaphor	2.6666666666666665	P13	J'ai encore raté mes falaises au miel le week-end dernier.	58	7	14.0	4.173913	concrete	concrete
P002	A	012	typhon	N	2.901	Novel	Metaphor	4.407407407407407	P14	Pendant la crise, un typhon de soucis s'est abattu sur les employés.	68	6	15.0	5.487685	abstract	abstract
P002	A	013	mistral	N	3.073	Novel	Metaphor	4.407407407407407	P14	Le scandale a été suivi d'un mistral de polémiques interminables.	65	7	16.0	5.487685	abstract	abstract
P002	A	014	séisme	N	2.063	Novel	Metaphor	4.407407407407407	P14	Le pays a connu un séisme de mouvements sociaux cette année.	60	6	11.0	5.487685	abstract	abstract
P002	A	015	genou	N	1.901	Novel	Metaphor	4.592592592592593	P15	À première vue, le genou du parasol est sérieusement endommagé.	63	5	11.0	4.382775	concrete	concrete
P002	A	016	moustache	N	3.495	Novel	Metaphor	4.592592592592593	P15	Tous les matins, le concierge nettoie la moustache du balai.	60	9	15.0	4.382775	concrete	concrete
P002	A	017	trachée	Y	4.668	Novel	Metaphor	4.592592592592593	P15	Des résidus de calcaire obstruent encore la trachée de la chaudière.	68	7	17.0	4.382775	concrete	concrete
P002	A	018	paupière	Y	3.887	Novel	Metaphor	4.592592592592593	P15	En nettoyant l'appareil photo, il a rayé la paupière de l'objectif.	67	8	15.0	4.382775	concrete	concrete
P002	A	019	obésité	Y	2.102	Novel	Metaphor	5.518518518518518	P16	Il a prononcé un discours d'une obésité insupportable.	54	7	13.0	3.935644	abstract	abstract
P002	A	020	étanchéité	Y	2.101	Novel	Metaphor	5.518518518518518	P16	J'ai toujours été sidéré par l'étanchéité de sa mémoire.	56	10	14.0	3.935644	abstract	abstract
P002	A	021	fluorescence	Y	4.101	Novel	Metaphor	5.518518518518518	P16	Il y a beaucoup de fluorescence dans les idées de ce jeune homme.	65	12	15.0	3.935644	abstract	abstract
P002	A	022	congélateur	Y	3.101	Novel	Metonymy	3.0	P21	Je suis descendu au congélateur, mais son sol était encore glissant.	68	11	15.0	3.159204	concrete	concrete
P002	A	023	micro-ondes	Y	3.3	Novel	Metonymy	3.0	P21	À l'institut, le micro-ondes donne accès à une cour où on peut fumer.	69	11	15.0	3.159204	concrete	concrete
P002	A	024	babyfoot	N	21.101	Novel	Metonymy	3.0	P21	L'entreprise dispose d'un babyfoot ensoleillé pour les pauses des salariés.	75	8	20.0	3.159204	concrete	concrete
P002	A	025	sourcil	Y	1.975	Novel	Metonymy	3.5555555555555554	P23	Les dossiers sont examinés par des sourcils expérimentés.	57	7	15.0	3.588517	concrete	concrete
P002	A	026	poing	N	3.301	Novel	Metonymy	3.5555555555555554	P23	Notre championnat voit s'affronter les poings les plus audacieux.	65	5	13.0	3.588517	concrete	concrete
P002	A	027	utérus	Y	3.701	Novel	Metonymy	3.5555555555555554	P23	Ce couple a engagé un utérus indien qui devrait s'installer en Europe.	70	6	14.0	3.588517	concrete	concrete
P002	A	028	gorge	N	5.001	Novel	Metonymy	3.5555555555555554	P23	La chorale cherche deux gorges puissantes pour compléter ses effectifs.	71	5	13.0	3.588517	concrete	concrete
P002	A	029	élégance	N	5.659	Novel	Metonymy	3.1481481481481484	P22	Ce soir, l'élégance parisienne est venue en nombre assister au défilé.	70	8	13.0	4.419048	abstract	concrete
P002	A	030	pauvreté	N	2.301	Novel	Metonymy	3.1481481481481484	P22	L'état souhaite aider la pauvreté à subvenir à ses besoins.	59	8	11.0	4.419048	abstract	concrete
P002	A	031	paranoïa	Y	2.289	Novel	Metonymy	3.1481481481481484	P22	Toute la paranoïa du pays a voté pour le même candidat.	55	8	15.0	4.419048	abstract	concrete
P002	A	032	vérification	N	3.601	Novel	Metonymy	5.481481481481482	P26	Elle a déposé les vérifications sur un plateau pour les envoyer à l'atelier.	76	12	12.0	4.649746	abstract	concrete
P002	A	033	largage	Y	3.864	Novel	Metonymy	5.481481481481482	P26	La population affamée s'est emparée du largage dispersé sur la plage.	69	7	16.0	4.649746	abstract	concrete
P002	A	034	liquidation	N	1.801	Novel	Metonymy	5.481481481481482	P26	Je regrette d'avoir acheté des liquidations de mauvaise qualité.	64	11	13.0	4.649746	abstract	concrete
P002	A	035	racket	N	3.001	Novel	Metonymy	5.481481481481482	P26	On a trouvé dans leur sac un racket de plus de mille euros.	59	6	15.0	4.649746	abstract	concrete
P002	A	036	bienveillance	N	3.901	Novel	Metonymy	4.333333333333333	P24	Je ne supporte pas les bienveillances hypocrites de mon patron.	63	13	15.0	5.423077	abstract	abstract
P002	A	037	immaturité	Y	4.701	Novel	Metonymy	4.333333333333333	P24	À la suite d'une énième immaturité, elle a décidé de quitter son mari.	70	10	17.0	5.423077	abstract	abstract
P002	A	038	paternalisme	N	1.501	Novel	Metonymy	4.333333333333333	P24	Elle a toujours eu horreur des paternalismes de son chef de poste.	66	12	17.0	5.423077	abstract	abstract
P002	A	039	sel	Y	5.901	Novel	Metonymy	4.62962962962963	P25	Le cuisinier a vidé la moitié d'un sel dans la marmite de soupe.	64	3	12.0	4.214286	concrete	concrete
P002	A	040	vinaigre	N	1.501	Novel	Metonymy	4.62962962962963	P25	J'ai versé le quart d'un vinaigre dans la salade de carottes.	61	8	14.0	4.214286	concrete	concrete
P002	A	041	ketchup	Y	2.002	Novel	Metonymy	4.62962962962963	P25	Les enfants ont mangé tout un ketchup avec leurs frites.	56	7	19.0	4.214286	concrete	concrete
P002	A	042	vanille	N	1.985	Novel	Metonymy	4.62962962962963	P25	Elle a mis une vanille et demie dans sa crème pour lui donner du goût.	70	7	14.0	4.214286	concrete	concrete
P002	A	043	majordome	N	1.983	Source	Metaphor	2.5925925925925926	P12	Elle a confié ses bagages au majordome dès son arrivée au manoir.	65	9	17.0	3.398058	concrete	nan
P002	A	044	acrobate	N	2.487	Source	Metaphor	2.5925925925925926	P12	La troupe est constituée de deux acrobates et de quatre jongleurs.	66	8	17.0	3.398058	concrete	nan
P002	A	045	pompier	N	2.202	Source	Metaphor	2.5925925925925926	P12	Le premier pompier est arrivé sur place dix minutes après l'appel.	66	7	14.0	3.398058	concrete	nan
P002	A	046	cacahuète	N	3.101	Source	Metaphor	2.4814814814814814	P11	Il a emporté un paquet de cacahuètes et quelques bières.	56	9	18.0	4.028708	concrete	nan
P002	A	047	cerise	N	2.078	Source	Metaphor	2.4814814814814814	P11	Elle a préparé une délicieuse tarte aux cerises pour le dessert.	64	6	14.0	4.028708	concrete	nan
P002	A	048	datte	N	3.501	Source	Metaphor	2.4814814814814814	P11	Toute la famille s'est réunie autour d'un repas à base de dattes et d'agneau.	77	5	18.0	4.028708	concrete	nan
P002	A	049	pastèque	N	2.001	Source	Metaphor	2.4814814814814814	P11	Les enfants ont pris une grosse tranche de pastèque au goûter.	62	8	17.0	4.028708	concrete	nan
P002	A	050	colline	N	2.574	Source	Metaphor	2.6666666666666665	P13	Ils ont construit leur maison sur la colline au-dessus du village.	66	7	12.0	4.173913	concrete	nan
P002	A	051	éboulis	Y	2.385	Source	Metaphor	2.6666666666666665	P13	La route de montagne est bloquée par un éboulis depuis deux jours.	66	7	16.0	4.173913	concrete	nan
P002	A	052	fougère	N	1.989	Source	Metaphor	2.6666666666666665	P13	On trouve de nombreuses espèces de fougères dans ces bois.	58	7	17.0	4.173913	concrete	nan
P002	A	053	bourrasque	N	3.192	Source	Metaphor	4.407407407407407	P14	La météo prévoit pour cette nuit des bourrasques et des pluies violentes.	73	10	17.0	5.487685	concrete	nan
P002	A	054	blizzard	N	3.901	Source	Metaphor	4.407407407407407	P14	Il est tombé beaucoup de neige et le blizzard souffle fort.	59	8	17.0	5.487685	concrete	nan
P002	A	055	orage	N	2.601	Source	Metaphor	4.407407407407407	P14	La chaîne météo a annoncé des orages et de fortes rafales de vent.	66	5	13.0	5.487685	concrete	nan
P002	A	056	cyclone	N	3	Source	Metaphor	4.407407407407407	P14	Cet archipel subit de plus en plus de cyclones et d'inondations.	64	7	13.0	5.487685	concrete	nan
P002	A	057	épaule	N	1.969	Source	Metaphor	4.592592592592593	P15	Il ressent une douleur à l'épaule depuis dimanche dernier.	58	6	12.0	4.382775	concrete	nan
P002	A	058	cheveu	N	2.575	Source	Metaphor	4.592592592592593	P15	Elle s'est brossé les cheveux en regardant la finale de la ligue à la télé.	75	6	11.0	4.382775	concrete	nan
P002	A	059	tempe	N	4.801	Source	Metaphor	4.592592592592593	P15	Un bon casque doit couvrir les tempes et la partie arrière de la tête.	70	5	16.0	4.382775	concrete	nan
P002	A	060	insalubrité	N	2.301	Source	Metaphor	5.518518518518518	P16	L'acheteur n'avait pas été informé de l'état d'insalubrité du logement.	71	11	16.0	3.935644	abstract	nan
