Participant	Age	Gender	Progress	Version	Duration_time	Prolific
P043	21	Femme	100	A	826	60c7669972a112f3eb09a8f5
P044	19	Femme	100	A	2004	60eb21bd3807b3a1810ea180
P045	30	Femme	100	A	547	5ede918b4280d611f9a38200
P046	22	Homme	100	A	1043	61336cbe8e7e77f3b8530f14
P047	19	Homme	100	B	901	603b74c7e2105080b6ac96f9
P048	23	Homme	100	B	1423	5e79df59ca147f00081b9061
P049	24	Femme	100	A	694	60958da3263538125e8cb59e
P050	22	Femme	100	B	1278	61405a4f49478e3de3302f99
P051	21	Femme	100	A	736	60fd5ac8744452c6f69ee227
P052	25	Homme	100	B	990	60b65205360a673c927216b9
P053	21	Femme	100	A	1158	61090783a01b97fbe95024dc
P054	22	Femme	100	B	818	6115892e44c1cdef81dc4902
P055	19	Femme	100	A	848	5ead411e3f746200087dcce9
P056	23	Femme	100	B	2283	5da5cd71096f2e00173eb1fb
P057	19	Homme	100	A	752	6076d4cc78a872c605a3f1e9
P058	18	Femme	100	A	893	60f9a58f0d8d9e82a8c458be
P059	23	Femme	100	B	1131	614dc9245676aa07d97aaa62
P060	23	Femme	100	B	522	5f6618814d55d71b0089341c
P061	23	Femme	100	A	690	60c8879f16c6793801426814
P062	25	Non binaire	100	B	848	6107db858c406135b4617433
P063	21	Homme	100	B	1127	5ed62270e61536017fb689c4
P064	20	Femme	100	A	780	61085e97b9c6d332e91731ec
P065	21	Non binaire	100	B	802	6166d5e7acededbab2978dfb
P066	20	Homme	100	A	714	615b7534024ea779386c39f2
P067	24	Homme	100	A	677	616e80ed30a7ff250d3faeb4
P068	20	Femme	100	B	905	61004d2708fa2db4330584fc
P069	19	Femme	100	A	916	60c732fe0cba4f369441c484
P070	23	Homme	100	A	2211	626d611a6d646b36a7721304
P071	21	Femme	100	B	730	61124d7a692af88ad0261b80
P072	24	Femme	100	B	998	5e42f0fe5b772a18434cabe7
P073	19	Femme	100	A	978	6110fd41ffb7d500ce7204a7
P074	24	Femme	100	B	1043	60c7987a11054a60df5ed5f8
P075	20	Femme	100	A	856	614d9655a1b9bca855cd1543
P076	20	Homme	100	A	1531	60fc91a0ba04152b8edd446c
P077	21	Femme	100	B	1465	5ea079d45f2eaf03fdb21a1c
P078	22	Homme	100	B	1013	6155e095b8c5b60879ef1e74
P079	21	Homme	100	A	887	5e79dc22aac2870008734aab
P080	21	Femme	100	A	1981	60fcedb19bae071bd9962549
P081	20	Homme	100	B	1356	6114fed3f86b66ee044ea243
P082	18	Homme	100	A	625	611eb357bf928119458ad6d7
P083	23	Femme	100	B	1370	Portucalense Infante D. Henrique
P084	30	Femme	100	A	702	5adf878e066c510001d454fe
P085	21	Homme	100	B	1624	609dc2b809e315fcfd6c4671
P086	27	Femme	100	A	1136	6108828d29494f32f8442da7
P087	23	Femme	100	A	1092	615eb59faf14f7a5554fbed6
P088	20	Femme	100	A	3594	6046590838f84c0f941b71a9
P089	22	Homme	100	B	811	5f0b79bbeafb912de58fb32dv
P090	23	Femme	100	B	860	5d6d116ad85921000164b639
P091	22	Femme	100	A	786	5f12f159b0754229e176ea75
P092	32	Femme	100	A	875	5fec7e7cebffe4915326c8bb
P093	19	Femme	100	B	1657	610085d607a6461fceaec758
P094	22	Non binaire	100	A	1111	5e655c05fb6cbb2e3381428a
P095	20	Homme	100	A	458	6113bd9984652f26f27eead2
P096	23	Femme	100	B	753	5f4f55d0a798ea01c7f48022
P097	30	Femme	100	A	571	5d133cd73f917500196ec691
P098	23	Femme	100	A	713	5f9b509388ebe636176bcb9c
P099	19	Femme	100	B	744	6151f078d738db7865f9a6bb
P100	19	Femme	100	B	1212	60db302f9c0d570c7f2e7653
P101	23	Homme	100	A	941	614f279c3f753e822569a14e
P102	21	Femme	100	A	843	5df147eed7bcba000e1ff211
P103	18	Homme	100	B	2690	6172a9f0b1a540f3b4089c31
P104	20	Femme	100	A	812	61018f718a8e893a7b3627e3
P105	20	Femme	100	B	748	60e6dca846c00a5404d062b1
P106	20	Femme	100	A	815	5e9e530c05469e000a5b13dc
P107	23	Femme	100	B	862	60ff413d6179a5ffe686884e
P108	21	Homme	100	A	1024	602d561de3b7ea7653d45892
P109	21	Homme	100	B	587	5ea94b3e936cd302e6d8feb2
P110	21	Femme	100	A	1663	6126250fc5e8570fd91c0ee2
P111	27	Femme	100	B	775	6106e8f425253a1b4bc86016
P112	23	Homme	100	A	1184	5f7161e350c1b018cd46cbf6
P113	23	Homme	100	B	743	5f05d2875c6a5609e95dc95a
P114	21	Femme	100	B	919	617405d6862a3668a1764533
P115	20	Femme	100	A	903	5f1f51aa30da60148076cf06
P116	21	Femme	100	B	634	5f0470bed60d5a06ed8c511f
P117	21	Non binaire	100	A	865	600177f8ba585d03c4a931d6
P118	25	Femme	100	A	708	60b22c6dc4f3a47a10ea721e
P119	22	Homme	100	B	1043	60c6142639e06670d219098c
P120	22	Homme	100	B	898	6019ee0cfa119d1bc03eef12
P121	23	Homme	100	A	694	5fb141ba6677855a1ef1f7a5
P122	23	Femme	100	B	343	6100126c72e5439fa5fa73a8
P123	21	Femme	100	A	1058	614cdd60c2bdb7ffd4499e37
P124	21	Femme	100	B	762	615601c0139b201b14164230
P125	19	Femme	100	A	858	60fd2fb90b2f8b3a693f323a
P126	19	Femme	100	B	675	616ee143f7eda83af40de690
P127	25	Homme	100	A	724	60be42dbf406b802e9bd732d
P128	20	Homme	100	A	911	608b4687db4ccb8e9eca0f4d
P129	29	Femme	100	B	731	5e1b31e276f4a1361c7500a1
P130	24	Homme	100	B	1330	611a75beb02fca32327fac21
P131	26	Femme	100	A	739	6131ea278c1e0e2a19591296
P132	22	Femme	100	A	957	609316ef5c90eaf6b8776b0f
P133	21	Homme	100	B	1070	60c7cc3edbfd3121e3b553fb
P134	19	Femme	100	B	531	6156deb82425b2a50bf2e078
P135	23	Femme	100	A	698	615f018cba8c45bf49a87063
P136	22	Femme	100	A	1025	611174fd80de0c438c40105b
P137	27	Femme	100	B	675	5ce59108469a00001a051c76
P138	21	Homme	100	A	607	610428b2ce51bf37463e986b
P139	23	Femme	100	B	613	60fccef055c7746c61a8b8ef
P140	21	Homme	100	B	937	6016d17b6f7aec872263a682
P141	22	Femme	100	A	1025	61087227b8da47d49183ac4c
P142	28	Homme	100	B	859	5d5b0f01e7a79e0017fc56a1
P143	22	Femme	100	A	695	5e5d05787593e9000a037b1c
P144	20	Femme	100	A	940	605749f1b1d298588597cac7
P145	24	Homme	100	B	1427	615efb9c3ad746bcefc33763
P146	20	Femme	100	A	848	613728a7e3d4cdf54e3455c6
P147	22	Homme	100	B	860	60343be3cf15a50a9268b4b4
P148	22	Femme	100	B	788	5ea805fdf2dd5103a58a96bd
P149	24	Homme	100	B	831	5dd336d949f607357e48e64a
P150	22	Femme	100	A	1382	610a6d5ed09bc4debb0e067b
P151	21	Femme	100	B	1745	6112bc57159c0aa2029b1de1
P152	20	Femme	100	A	723	5fa56325734e2d000a1b75b1
P153	20	Femme	100	A	1516	610aa9da2babe19d75f9592e
P154	23	Femme	100	B	614	5baa3f56c0a8c000014bedc4
P155	23	Femme	100	B	344916	5f24348aaf4d9b0144933300
P156	28	Femme	100	A	70296	5ece6c76c501a121bb6add41
